iter	Passed	Remaining
0	10	1088
1	32	1573
2	47	1528
3	64	1556
4	72	1381
5	80	1255
6	89	1184
7	100	1155
8	111	1132
9	125	1126
10	130	1052
11	138	1015
12	143	960
13	150	926
14	162	922
15	171	900
16	179	874
17	187	852
18	196	838
19	207	828
20	214	808
21	229	813
22	238	797
23	245	778
24	256	768
25	263	750
26	272	736
27	279	718
28	287	703
29	294	687
30	300	667
31	308	656
32	317	644
33	324	630
34	332	617
35	344	611
36	354	603
37	361	590
38	371	581
39	380	571
40	388	558
41	395	546
42	405	537
43	412	524
44	420	513
45	427	502
46	434	490
47	445	482
48	455	473
49	463	463
50	471	453
51	479	442
52	486	431
53	493	420
54	503	411
55	510	401
56	521	393
57	534	387
58	545	379
59	554	369
60	567	362
61	575	352
62	585	343
63	593	333
64	603	325
65	613	316
66	621	306
67	631	297
68	639	287
69	649	278
70	660	269
71	669	260
72	678	251
73	686	241
74	696	232
75	704	222
76	714	213
77	722	203
78	732	194
79	740	185
80	753	176
81	765	167
82	772	158
83	784	149
84	794	140
85	802	130
86	812	121
87	819	111
88	829	102
89	838	93
90	850	84
91	861	74
92	868	65
93	880	56
94	888	46
95	899	37
96	909	28
97	916	18
98	929	9
99	939	0
